Buy,Sell
25.0,
25.0,10.0
25.0,10.0
,
10.0,10.0
10.0,10.0
10.0,10.0
10.0,10.0
,
,
,
,
,
,
25.0,
25.0,
25.0,
,
25.0,
,
16.0,
25.0,
25.0,
25.0,1.0
,
,
,
,
,
,
,
,
,
,
60.0,60.0
56.5,1.5
181.7,60.0
172.7,
50.0,
50.7,
102.5,
2.5,
2.0,
7.0,
7.0,
127.0,
101.5,5.0
101.5,
,
,
,
,
60.9,
,
25.0,75.0
,
,
7.0,7.0
7.0,7.0
21.0,21.0
19.0,19.0
23.0,23.0
21.0,21.0
59.5,12.5
165.7,10.0
240.0,
178.5,
202.0,
120.0,
130.0,15.0
83.0,
80.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.0,1.0
1.0,6.0
101.5,
101.5,40.0
2.0,50.5
7.0,5.0
7.0,8.0
,4.0
2.0,4.0
32.4,
,
70.0,
60.0,
60.0,
181.4,
70.0,
110.6,
125.0,
104.0,
90.0,
110.0,
151.0,
347.0,
350.8,
302.9,0.4
251.9,0.4
98.0,
204.0,
162.0,
200.0,
173.0,
216.0,
157.0,
115.0,
,
50.0,
50.0,
75.0,
140.9,
191.7,
212.0,
132.2,69.2
,
141.5,
101.5,
224.0,
223.9,
229.8,
227.1,
130.0,
121.0,
,
86.0,
70.0,
70.0,
70.0,
70.0,
100.0,26.0
,
2.0,
52.0,
52.0,
100.7,
,
,
,
,
,
,
1.0,
156.0,0.8
156.0,0.8
156.0,0.8
156.0,0.8
1.0,
1.0,
2.5,1.5
1.0,
,
50.0,
100.0,
75.0,
,
,25.0
,25.0
,25.0
,25.0
10.0,25.0
10.0,75.0
20.0,97.0
,25.0
,25.0
,25.0
,25.0
50.7,25.0
50.7,25.0
50.7,25.0
50.7,29.0
2.0,29.0
12.0,28.0
24.0,49.0
12.0,37.0
22.0,44.0
22.0,44.5
10.0,31.5
10.0,35.0
,5.0
,5.0
,5.0
,5.0
,5.0
,5.0
,5.0
,205.0
,
8.0,8.0
,
1.0,1.0
1.5,1.5
6.5,1.5
6.5,1.5
6.5,130.5
1.5,173.5
1.0,130.5
29.0,158.0
,189.0
10.0,60.0
9.5,60.0
1.5,60.5
,49.0
,
30.0,
,
30.0,
30.0,30.0
,
,
15.0,15.0
,
,
30.0,30.0
80.0,130.0
77.0,127.0
30.0,180.0
26.0,100.0
27.0,227.0
28.0,178.0
31.0,186.0
31.0,181.0
61.0,246.0
31.0,166.0
31.0,66.0
31.0,66.0
31.0,31.0
,
,
,
,250.0
,350.0
,400.0
,395.0
,
,250.0
,252.0
100.0,73.0
100.0,73.0
100.0,250.3
100.0,55.0
100.0,55.0
20.0,90.0
10.0,60.0
,120.0
,120.0
5.0,52.0
5.0,55.0
1.0,2.0
11.0,17.0
21.0,22.0
10.0,
10.0,10.0
,10.0
,40.0
,40.0
,65.0
,
,65.0
,40.0
80.0,80.0
40.0,40.0
40.0,40.0
40.0,40.0
,
,
,150.0
,250.0
90.0,590.0
40.0,390.0
,
,
,25.0
,
,
,
,
,
10.0,
10.0,
10.0,
,
,
,
,
,
,
50.0,50.0
90.0,90.0
40.0,40.0
40.0,
40.0,
,
,
48.7,
,
,
,
,
,
,
,
,
,
,
140.9,
256.0,
,
150.0,150.0
,
11.0,11.0
16.0,16.0
4.0,74.0
98.4,70.0
158.4,70.0
111.5,20.0
20.3,80.3
6.8,66.8
31.2,46.2
135.0,155.0
,15.0
,
50.0,50.0
,
,
,
,
,
,
,
,
,
50.0,50.0
,
213.0,
218.0,5.0
218.0,
233.8,20.8
213.0,5.0
213.0,
218.0,10.0
213.0,5.0
321.5,168.5
294.0,734.0
213.0,49.0
213.0,
213.0,
100.0,100.0
,
,
,
,
,
,
,10.0
180.0,140.0
180.0,220.0
180.0,240.0
180.0,525.0
180.0,490.0
180.0,410.0
210.0,498.0
180.0,458.0
180.0,140.0
180.0,239.0
180.0,229.0
180.0,379.0
116.0,198.0
240.0,125.0
240.0,125.0
240.0,158.0
50.0,50.0
,50.0
,
,50.0
,
,100.0
50.0,245.0
,100.0
,199.0
,199.0
10.0,130.0
,
60.0,259.0
,
,
,
8.6,8.0
0.5,332.8
,
,
8.0,8.0
1.0,1.0
1.0,1.0
1.0,1.0
,
,
,
,
,
5.0,
30.0,30.0
,
,
5.0,5.0
6.0,61.0
10.0,70.0
9.0,123.2
,214.2
,55.0
,
10.0,59.0
5.0,35.0
5.0,5.0
,
,
15.0,79.0
50.0,
50.0,
,50.0
,
,
,
43.0,
,
,
,
,
,
,
,
5.0,5.0
,10.0
10.0,20.0
10.0,20.0
111.5,21.5
10.0,20.0
10.0,20.0
,
,
,
,
,
,
,
,50.0
,50.0
,
,
,
,75.0
75.0,
,
50.0,50.0
50.0,230.0
50.0,50.0
,
,
,
,75.0
,
,
,
,
,
,
10.0,
85.0,65.0
85.0,75.0
85.0,65.0
85.0,65.0
92.0,
135.0,
,
,
,
,
,
17.0,17.0
17.5,17.5
25.0,24.0
21.0,20.0
46.0,45.0
107.8,106.8
21.0,21.0
33.0,33.0
26.0,26.0
28.0,28.0
30.0,30.0
52.0,52.0
76.0,7.0
,
,
,
,
,
135.0,15.7
,
,
,
,
5.5,5.5
5.0,5.0
27.0,27.0
12.0,7.0
10.0,5.0
10.0,
11.3,6.3
6.3,6.3
6.5,44.0
70.0,
81.0,200.0
60.0,150.0
230.0,246.0
102.0,462.0
5.0,105.0
,50.0
,
,
,
,50.0
,
,
,
,
,
2.0,2.0
2.0,2.0
2.0,2.0
2.0,2.0
4.0,4.0
5.0,5.0
105.1,16.6
12.2,17.2
2.1,33.2
2.0,2.0
2.0,2.0
2.0,2.0
15.0,70.0
,
,
,
,38.0
,
,
,
44.0,155.9
,98.5
99.5,99.5
,
2.0,
2.0,
12.0,
2.0,
102.0,50.0
57.0,
129.5,20.0
7.0,50.0
2.0,
2.0,1.0
273.0,
71.0,
400.0,
,50.0
,50.0
,
,
,
200.0,162.0
255.0,100.0
255.0,100.0
155.0,100.0
205.0,150.0
205.0,150.0
255.0,150.0
155.0,150.0
155.0,150.0
155.0,150.0
155.0,158.0
155.0,150.0
162.0,150.0
155.0,154.0
155.0,254.0
155.0,154.0
55.0,
55.0,
55.0,5.0
,
,
,
,
51.0,42.3
102.0,42.5
102.0,42.5
102.0,0.5
102.0,0.5
102.0,10.5
50.7,
,
,
,11.0
,10.0
,55.0
,51.0
,10.0
,10.0
,3.0
50.0,54.0
,
,
,
,
,
,
,85.0
,100.0
,50.0
,40.0
,25.0
,
,100.0
103.5,55.5
,50.0
,
,35.0
,50.0
50.7,150.7
,90.0
50.7,
32.4,
50.7,
50.7,
50.7,40.0
50.7,100.0
50.7,103.0
,
,
,
,
,
66.0,16.0
,
50.0,50.0
,
,
,
,50.0
5.0,5.0
10.0,
10.0,
60.0,
112.0,62.0
101.0,51.0
22.0,142.0
100.7,50.0
50.0,50.0
104.0,1.0
101.0,1.0
179.0,4.0
,
,
,
,
,
,49.5
,50.0
,
,
,
,
,
,
35.0,
42.0,
90.0,125.0
59.0,
78.0,50.0
69.0,50.0
61.1,50.0
5.0,
,125.0
,4.0
4.0,4.0
,
50.0,
50.0,
50.0,
131.2,
50.0,
32.0,
,
,
,
,
148.0,
87.0,
90.0,
85.0,
70.0,
70.0,3.0
124.0,4.0
120.0,
137.0,7.0
9.0,
,
,13.0
5.0,14.0
,
,
,
,
45.6,
,
,
,
,
,
,
,
30.4,
35.4,
120.4,
130.4,5.0
120.4,13.0
120.4,150.0
90.0,150.0
,50.0
,
3.0,
18.0,23.0
20.0,58.5
66.0,
103.0,
,
50.0,
50.0,
50.0,
,
,100.0
,200.0
,340.0
,340.0
20.0,355.0
35.5,355.0
41.5,355.0
35.5,345.0
40.5,358.0
13.0,368.0
8.0,358.0
20.0,340.0
40.0,400.0
10.0,268.0
25.0,18.0
25.0,18.0
30.0,18.0
83.0,83.0
,
,
90.0,
140.0,50.0
100.0,
90.0,
,
75.0,75.0
96.0,
75.0,
93.0,
120.0,50.0
90.0,50.0
140.0,100.0
129.1,50.0
140.0,62.0
90.0,
30.0,
,
50.0,
,11.0
,11.0
,11.0
,
,
,
,
,
,165.0
,40.0
,40.0
,
,
,
40.0,40.0
14.0,14.0
17.0,17.0
22.0,22.0
19.0,19.0
16.0,16.0
17.0,17.0
,39.0
17.0,17.0
14.0,14.0
11.0,11.0
10.0,10.0
9.0,9.0
50.0,50.0
,
,
100.0,
50.0,
,
,
100.0,
225.0,
326.0,76.0
505.0,230.0
275.0,
423.0,
523.0,
312.2,0.2
172.2,0.2
256.0,
496.0,65.0
212.0,80.0
125.0,18.0
279.0,30.0
61.0,5.0
269.0,5.0
269.0,
,50.0
,50.0
,50.0
,50.0
,50.0
,50.0
,
50.0,
50.0,
165.0,15.0
165.0,15.0
165.0,10.0
190.0,100.0
195.0,5.0
177.0,55.0
250.0,210.0
5.0,5.0
23.0,183.0
12.0,137.0
45.0,218.0
65.0,65.0
19.0,284.0
72.0,397.0
23.0,298.0
20.0,35.0
20.0,35.0
20.0,35.0
20.0,35.0
20.0,20.0
20.0,20.0
20.0,2.0
20.0,
30.0,
180.0,50.0
164.0,64.0
180.0,30.0
180.0,227.0
180.0,227.0
207.0,254.0
155.0,202.0
205.0,55.0
237.0,411.0
150.0,1178.0
150.0,1053.0
103.0,423.0
35.0,904.0
40.0,832.0
30.0,652.0
5.0,
,
,
,
,
40.0,40.0
,
,
,
1.8,151.8
6.8,156.8
2.0,199.0
7.0,204.0
102.0,151.0
7.0,153.0
114.0,393.0
11.0,359.0
52.0,430.0
52.0,211.0
11.0,200.0
8.0,8.0
5.0,
5.0,
6.0,1.0
301.0,
226.0,15.0
196.0,20.0
46.0,20.0
20.0,20.0
,
176.0,
,
,
,
45.0,50.0
125.0,75.0
130.0,80.0
158.5,88.5
360.5,303.5
360.5,280.5
166.5,186.5
168.5,98.5
168.5,98.5
158.5,157.5
158.5,170.5
160.5,130.5
160.5,130.5
161.5,102.5
,
,70.0
,
,
,
,
,50.0
,
,
50.0,
50.0,
,
,
50.0,50.0
,
50.0,15.0
,
,20.0
,
,
254.0,4.0
200.0,8.0
345.0,59.0
350.0,10.0
29.0,2.0
29.0,4.0
20.0,2.0
15.0,2.0
10.0,
10.0,
12.5,
40.0,
25.0,
125.0,
135.0,
90.0,
40.0,
68.0,
88.0,
63.0,
33.0,
90.0,
36.0,2.0
90.0,2.0
67.0,2.0
30.0,
27.5,
20.0,
,
,
,
,
81.0,81.0
,
,
,77.0
,70.0
2.0,2.0
7.0,7.0
175.0,127.0
70.0,122.0
70.0,222.0
70.0,122.0
,72.0
5.0,5.0
5.0,10.0
10.0,10.0
6.0,6.0
66.0,6.0
166.0,155.0
156.0,156.0
6.0,6.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
,
50.0,50.0
,
55.0,55.0
5.0,55.0
45.0,45.0
16.0,11.0
23.5,23.5
7.0,12.0
32.0,37.0
22.0,32.0
15.0,147.3
15.0,415.0
10.0,27.0
59.0,59.0
5.0,5.0
6.0,17.0
5.0,5.0
5.0,5.0
30.0,30.0
,
,5.0
,
20.3,
20.3,
,
,
,
90.0,40.0
94.0,44.0
94.0,44.0
98.0,48.0
103.0,48.0
98.0,43.0
98.0,109.0
95.0,190.0
91.0,195.0
100.0,99.0
100.0,99.0
108.0,107.0
110.0,60.0
114.0,82.0
129.0,83.0
,
,
,
,
,
,
,
,
,
,
5.0,5.0
,126.0
,101.0
85.0,
108.0,33.0
30.0,26.0
9.0,41.0
9.0,159.0
11.0,10.0
,
,1.0
11.0,235.0
41.0,1.0
200.0,200.0
50.0,122.0
,50.7
0.3,97.0
0.3,97.0
,122.0
,122.0
,
,
,
,
,
,5.0
,
,
,
,
10.1,
,
,
,
,
,60.0
,
,
,
,100.0
,25.0
,
,
,
,25.0
29.4,54.4
100.0,58.1
125.0,83.1
135.0,35.0
260.0,
135.0,
150.0,
,
,
50.0,50.0
50.0,
50.0,475.0
200.0,425.0
,
,
,
,
20.0,20.0
50.0,20.0
50.0,20.0
99.0,95.0
64.0,20.0
63.0,45.0
88.0,45.0
67.0,
225.0,
190.0,
185.0,75.0
195.0,15.0
70.0,70.0
,
,
,30.0
,
,20.0
,70.0
,20.0
190.7,210.0
130.0,280.0
205.7,280.0
180.7,280.0
,50.0
,
20.0,70.0
,
,
,108.0
,
,
,
,
,
50.0,50.0
75.0,75.0
142.0,100.0
92.0,50.0
274.5,58.5
167.5,0.5
112.5,0.5
30.0,20.0
15.0,15.0
10.0,5.0
,
,
,
,
,
,
,
,
,
,
,
,
138.0,
,
10.0,50.0
104.5,50.5
116.0,7.5
126.0,242.0
27.5,272.5
30.0,270.0
5.0,255.0
8.0,8.0
6.0,6.0
2.0,2.0
102.0,2.0
102.0,2.0
101.0,1.0
,
,
,
,
,
,
,
,
,
,
,
,52.0
,52.0
20.0,10.0
15.0,2.0
20.0,5.0
,2.0
2.0,202.0
40.0,491.0
1.0,240.0
,
,
,
,
,
,
,
,
,
,
,
,
,
3.0,3.0
155.0,155.0
250.0,95.0
97.0,87.0
84.0,54.0
65.0,55.0
160.0,155.0
110.0,105.0
60.0,130.0
45.0,35.0
95.0,90.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10.0,40.0
10.0,40.0
10.0,40.0
,262.0
,275.0
,297.0
5.0,6.0
51.5,259.5
5.0,5.0
5.0,47.0
,
,
,
,
,
,
,
,
,
,
,
,
,
25.0,25.0
,41.5
10.0,10.0
65.0,65.0
73.0,73.0
,55.0
10.0,50.0
,17.0
3.0,3.0
,
4.0,4.0
4.0,4.0
,
5.0,5.0
,
,
,
,
,
,
,
,
,
,
53.0,53.0
50.0,204.0
50.0,57.0
50.0,104.0
,160.0
,257.0
50.0,250.0
20.0,245.0
20.0,20.0
,50.0
20.0,20.0
31.0,31.0
,
,50.0
,
,
,
,
,
,100.0
,100.0
85.0,140.0
,
,90.0
50.0,50.0
64.0,204.0
7.0,107.0
,196.0
10.0,10.0
12.0,12.0
12.0,12.0
65.0,65.0
50.0,50.0
50.0,50.0
11.0,11.0
,2.0
,199.0
,199.0
,
,
27.0,26.0
,
,
,150.0
,129.0
,481.9
,50.0
50.0,50.0
50.0,50.0
15.0,10.0
,79.0
10.0,100.0
10.0,100.0
10.0,100.0
10.0,100.0
,100.0
6.0,6.0
,
,
,
,
,
,
,90.0
,90.0
,50.0
100.0,100.0
,100.0
190.8,380.8
,193.0
,108.3
,
,
12.0,
2.0,50.0
2.0,100.0
52.0,100.0
,10.0
,
1.0,
1.0,
1.0,
6.0,10.0
5.0,10.0
,128.0
,
,
,125.0
,199.0
,200.0
,100.0
59.0,109.0
100.0,100.0
17.0,280.0
,50.0
,
,
,
,
,
,
,
,0.5
0.5,0.5
2.0,45.0
2.0,201.0
2.0,100.0
,291.0
,130.0
,
,
,
50.0,100.0
,140.0
,100.0
,100.0
,50.0
,
,
,125.0
,
,
,197.0
,202.0
,
,270.0
,199.0
,377.0
,373.0
,248.0
55.0,420.0
94.9,374.0
,
36.4,300.0
,
,
,
,
,25.0
,25.0
,
,150.0
,250.0
,275.0
20.0,270.0
30.0,155.0
40.0,90.0
,100.0
20.0,80.0
,188.0
2.0,182.0
,350.0
,405.0
10.0,211.0
24.0,24.0
10.0,10.0
10.0,16.0
10.0,10.0
,
,50.0
50.0,150.0
,50.0
,50.0
,
50.0,50.0
50.0,50.0
50.0,50.0
100.0,100.0
,
,50.0
5.0,55.0
15.0,61.0
,54.0
61.0,52.0
50.0,
325.0,
753.0,50.0
700.0,50.0
601.0,
601.0,
500.4,30.0
464.9,100.0
,
,
,1.0
,1.0
,1.0
,91.0
1.0,281.0
241.0,531.0
213.0,736.0
15.0,116.0
201.0,302.0
192.0,218.0
152.0,108.0
145.0,110.0
117.0,110.0
199.0,110.0
275.0,119.0
144.0,423.0
5.0,387.0
5.0,498.0
51.0,110.0
23.0,537.0
63.0,475.0
76.0,504.0
18.0,205.0
18.0,293.0
18.0,173.0
9.0,9.0
9.0,9.0
9.0,9.0
109.0,109.0
109.0,309.0
109.0,
114.0,55.0
9.0,9.0
38.0,24.0
28.0,24.0
39.0,15.0
54.0,35.0
54.0,15.0
44.0,34.0
22.0,62.0
18.0,3.0
30.0,6.0
76.0,80.0
51.0,30.0
51.0,40.0
26.0,15.0
,
,100.0
,
