,Gen. (s) forecast,Gen. (w_off) forecast,Gen. (w_on) forecast
2017-12-31 23:00:00+00:00,0.0,441.25,3512.75
2018-01-01 00:00:00+00:00,0.0,446.0,3585.5
2018-01-01 01:00:00+00:00,0.0,447.0,3665.75
2018-01-01 02:00:00+00:00,0.0,447.75,3806.25
2018-01-01 03:00:00+00:00,0.0,448.75,3852.75
2018-01-01 04:00:00+00:00,0.0,443.5,3715.75
2018-01-01 05:00:00+00:00,0.0,424.5,3365.75
2018-01-01 06:00:00+00:00,0.0,401.5,2911.5
2018-01-01 07:00:00+00:00,0.0,401.75,2890.0
2018-01-01 08:00:00+00:00,56.75,406.5,2973.0
2018-01-01 09:00:00+00:00,238.0,397.5,2992.75
2018-01-01 10:00:00+00:00,427.0,383.25,2916.75
2018-01-01 11:00:00+00:00,472.75,356.75,2733.75
2018-01-01 12:00:00+00:00,381.5,314.25,2377.5
2018-01-01 13:00:00+00:00,247.0,265.75,1886.0
2018-01-01 14:00:00+00:00,126.0,210.25,1442.25
2018-01-01 15:00:00+00:00,40.0,159.5,1052.75
2018-01-01 16:00:00+00:00,6.0,120.25,756.25
2018-01-01 17:00:00+00:00,0.0,87.75,535.75
2018-01-01 18:00:00+00:00,0.0,74.25,367.5
2018-01-01 19:00:00+00:00,0.0,107.0,376.0
2018-01-01 20:00:00+00:00,0.0,159.5,496.0
2018-01-01 21:00:00+00:00,0.0,198.0,674.5
2018-01-01 22:00:00+00:00,0.0,207.0,801.0
2018-01-01 23:00:00+00:00,0.0,197.0,879.5
2018-01-02 00:00:00+00:00,0.0,173.75,975.25
2018-01-02 01:00:00+00:00,0.0,195.25,1045.25
2018-01-02 02:00:00+00:00,0.0,238.0,1167.25
2018-01-02 03:00:00+00:00,0.0,277.75,1294.25
2018-01-02 04:00:00+00:00,0.0,304.75,1381.0
2018-01-02 05:00:00+00:00,0.0,286.75,1361.5
2018-01-02 06:00:00+00:00,0.0,259.25,1256.5
2018-01-02 07:00:00+00:00,0.0,258.5,1291.75
2018-01-02 08:00:00+00:00,39.5,264.75,1416.25
