,Gen. forecast
2017-12-31 23:00:00+00:00,13908.0
2018-01-01 00:00:00+00:00,13860.0
2018-01-01 01:00:00+00:00,13583.0
2018-01-01 02:00:00+00:00,12861.0
2018-01-01 03:00:00+00:00,12594.0
2018-01-01 04:00:00+00:00,12961.0
2018-01-01 05:00:00+00:00,14604.0
2018-01-01 06:00:00+00:00,16433.0
2018-01-01 07:00:00+00:00,17584.0
2018-01-01 08:00:00+00:00,18104.0
2018-01-01 09:00:00+00:00,18173.0
2018-01-01 10:00:00+00:00,18227.0
2018-01-01 11:00:00+00:00,18162.0
2018-01-01 12:00:00+00:00,18303.0
2018-01-01 13:00:00+00:00,18223.0
2018-01-01 14:00:00+00:00,18341.0
2018-01-01 15:00:00+00:00,18206.0
2018-01-01 16:00:00+00:00,18514.0
2018-01-01 17:00:00+00:00,18355.0
2018-01-01 18:00:00+00:00,17921.0
2018-01-01 19:00:00+00:00,17507.0
2018-01-01 20:00:00+00:00,16686.0
2018-01-01 21:00:00+00:00,15941.0
2018-01-01 22:00:00+00:00,15815.0
2018-01-01 23:00:00+00:00,15232.0
2018-01-02 00:00:00+00:00,15181.0
2018-01-02 01:00:00+00:00,15340.0
2018-01-02 02:00:00+00:00,14930.0
2018-01-02 03:00:00+00:00,15197.0
2018-01-02 04:00:00+00:00,15583.0
2018-01-02 05:00:00+00:00,16273.0
2018-01-02 06:00:00+00:00,17137.0
2018-01-02 07:00:00+00:00,18281.0
2018-01-02 08:00:00+00:00,19015.0
2018-01-02 09:00:00+00:00,18500.0
2018-01-02 10:00:00+00:00,18167.0
2018-01-02 11:00:00+00:00,17502.0
2018-01-02 12:00:00+00:00,17330.0
2018-01-02 13:00:00+00:00,17378.0
2018-01-02 14:00:00+00:00,17796.0
2018-01-02 15:00:00+00:00,18078.0
2018-01-02 16:00:00+00:00,18301.0
2018-01-02 17:00:00+00:00,17874.0
2018-01-02 18:00:00+00:00,17733.0
2018-01-02 19:00:00+00:00,17476.0
2018-01-02 20:00:00+00:00,17077.0
2018-01-02 21:00:00+00:00,16292.0
2018-01-02 22:00:00+00:00,15851.0
2018-01-02 23:00:00+00:00,15139.0
2018-01-03 00:00:00+00:00,14724.0
2018-01-03 01:00:00+00:00,14519.0
2018-01-03 02:00:00+00:00,14577.0
2018-01-03 03:00:00+00:00,14453.0
2018-01-03 04:00:00+00:00,15040.0
2018-01-03 05:00:00+00:00,16234.0
2018-01-03 06:00:00+00:00,17755.0
2018-01-03 07:00:00+00:00,18951.0
2018-01-03 08:00:00+00:00,19732.0
2018-01-03 09:00:00+00:00,19648.0
2018-01-03 10:00:00+00:00,19523.0
2018-01-03 11:00:00+00:00,19336.0
2018-01-03 12:00:00+00:00,19553.0
2018-01-03 13:00:00+00:00,19978.0
2018-01-03 14:00:00+00:00,19982.0
2018-01-03 15:00:00+00:00,19553.0
2018-01-03 16:00:00+00:00,19346.0
2018-01-03 17:00:00+00:00,18754.0
2018-01-03 18:00:00+00:00,18421.0
2018-01-03 19:00:00+00:00,18023.0
2018-01-03 20:00:00+00:00,17274.0
2018-01-03 21:00:00+00:00,16493.0
2018-01-03 22:00:00+00:00,15702.0
2018-01-03 23:00:00+00:00,14276.0
2018-01-04 00:00:00+00:00,13645.0
2018-01-04 01:00:00+00:00,13185.0
2018-01-04 02:00:00+00:00,13214.0
2018-01-04 03:00:00+00:00,13382.0
2018-01-04 04:00:00+00:00,14081.0
2018-01-04 05:00:00+00:00,16145.0
2018-01-04 06:00:00+00:00,18652.0
2018-01-04 07:00:00+00:00,19799.0
