,LOAD
2015-01-01 00:00:00+00:00,9456.0
2015-01-01 01:00:00+00:00,8956.75
2015-01-01 02:00:00+00:00,8461.5
2015-01-01 03:00:00+00:00,8156.0
2015-01-01 04:00:00+00:00,8126.0
2015-01-01 05:00:00+00:00,8291.75
2015-01-01 06:00:00+00:00,8638.25
2015-01-01 07:00:00+00:00,8927.25
2015-01-01 08:00:00+00:00,9312.5
2015-01-01 09:00:00+00:00,9933.25
2015-01-01 10:00:00+00:00,10432.0
2015-01-01 11:00:00+00:00,11918.75
2015-01-01 12:00:00+00:00,11951.25
2015-01-01 13:00:00+00:00,12067.5
2015-01-01 14:00:00+00:00,11829.0
2015-01-01 15:00:00+00:00,12086.75
2015-01-01 16:00:00+00:00,12683.0
2015-01-01 17:00:00+00:00,12299.25
2015-01-01 18:00:00+00:00,11716.5
2015-01-01 19:00:00+00:00,11364.75
2015-01-01 20:00:00+00:00,10878.25
2015-01-01 21:00:00+00:00,10563.5
2015-01-01 22:00:00+00:00,9823.75
2015-01-01 23:00:00+00:00,8995.25
2015-01-02 00:00:00+00:00,8302.75
2015-01-02 01:00:00+00:00,7876.0
2015-01-02 02:00:00+00:00,7700.25
2015-01-02 03:00:00+00:00,7771.5
2015-01-02 04:00:00+00:00,8254.5
2015-01-02 05:00:00+00:00,9355.75
2015-01-02 06:00:00+00:00,10990.25
2015-01-02 07:00:00+00:00,12458.25
2015-01-02 08:00:00+00:00,13445.5
2015-01-02 09:00:00+00:00,14038.25
2015-01-02 10:00:00+00:00,14021.5
2015-01-02 11:00:00+00:00,13812.75
2015-01-02 12:00:00+00:00,13566.0
2015-01-02 13:00:00+00:00,13542.25
2015-01-02 14:00:00+00:00,13899.25
2015-01-02 15:00:00+00:00,14181.5
2015-01-02 16:00:00+00:00,15086.25
2015-01-02 17:00:00+00:00,14341.0
2015-01-02 18:00:00+00:00,13904.0
2015-01-02 19:00:00+00:00,13403.0
2015-01-02 20:00:00+00:00,12632.0
2015-01-02 21:00:00+00:00,11720.25
2015-01-02 22:00:00+00:00,11179.5
2015-01-02 23:00:00+00:00,10868.5
2015-01-03 00:00:00+00:00,10500.5
2015-01-03 01:00:00+00:00,10213.25
2015-01-03 02:00:00+00:00,10046.5
2015-01-03 03:00:00+00:00,9840.25
2015-01-03 04:00:00+00:00,10137.25
2015-01-03 05:00:00+00:00,10463.25
2015-01-03 06:00:00+00:00,11022.0
2015-01-03 07:00:00+00:00,11918.0
2015-01-03 08:00:00+00:00,12980.5
2015-01-03 09:00:00+00:00,13670.75
2015-01-03 10:00:00+00:00,14458.5
2015-01-03 11:00:00+00:00,14821.0
2015-01-03 12:00:00+00:00,14855.5
2015-01-03 13:00:00+00:00,15101.25
2015-01-03 14:00:00+00:00,15457.5
2015-01-03 15:00:00+00:00,15728.25
2015-01-03 16:00:00+00:00,16126.75
2015-01-03 17:00:00+00:00,15663.25
2015-01-03 18:00:00+00:00,14800.5
2015-01-03 19:00:00+00:00,13958.5
2015-01-03 20:00:00+00:00,13258.0
2015-01-03 21:00:00+00:00,12430.0
2015-01-03 22:00:00+00:00,11604.25
2015-01-03 23:00:00+00:00,11033.0
2015-01-04 00:00:00+00:00,10512.25
2015-01-04 01:00:00+00:00,9963.25
2015-01-04 02:00:00+00:00,9759.25
2015-01-04 03:00:00+00:00,9715.0
2015-01-04 04:00:00+00:00,9865.0
2015-01-04 05:00:00+00:00,10118.75
2015-01-04 06:00:00+00:00,10770.25
2015-01-04 07:00:00+00:00,11637.25
2015-01-04 08:00:00+00:00,12422.75
2015-01-04 09:00:00+00:00,13200.0
2015-01-04 10:00:00+00:00,13474.0
2015-01-04 11:00:00+00:00,13383.75
2015-01-04 12:00:00+00:00,13589.5
2015-01-04 13:00:00+00:00,13786.5
2015-01-04 14:00:00+00:00,13938.0
2015-01-04 15:00:00+00:00,13947.25
2015-01-04 16:00:00+00:00,15051.0
2015-01-04 17:00:00+00:00,15182.5
2015-01-04 18:00:00+00:00,15015.75
2015-01-04 19:00:00+00:00,14560.75
2015-01-04 20:00:00+00:00,14015.25
2015-01-04 21:00:00+00:00,13172.0
2015-01-04 22:00:00+00:00,12148.0
2015-01-04 23:00:00+00:00,11475.75
2015-01-05 00:00:00+00:00,10889.75
2015-01-05 01:00:00+00:00,10459.75
2015-01-05 02:00:00+00:00,10373.25
2015-01-05 03:00:00+00:00,10550.25
2015-01-05 04:00:00+00:00,11098.0
2015-01-05 05:00:00+00:00,13000.25
2015-01-05 06:00:00+00:00,15443.75
2015-01-05 07:00:00+00:00,17613.5
